target_id,target_name,req_id,type,priority,level,description
TGT-04,"is_valid_move(board, x, y, me) -> bool",BR-04-04,branch_coverage,high,L2,空マスだが8方向すべて挟めない場合に False を返すこと
TGT-04,"is_valid_move(board, x, y, me) -> bool",EC-04-01,equivalence_class,high,L2,対象マスの3状態（空/自分/相手）を網羅して判定が正しく切り替わること
TGT-04,"is_valid_move(board, x, y, me) -> bool",EC-04-02,equivalence_class,medium,L1,"自分/相手（me=1, me=2）の両視点で対称に動作すること"
TGT-04,"is_valid_move(board, x, y, me) -> bool",EC-04-03,equivalence_class,high,L2,挟める方向が 0 個と 1 個以上 の両条件を網羅すること
TGT-04,"is_valid_move(board, x, y, me) -> bool",BV-04-01,boundary_value,high,L2,盤面の四隅（角）で正しく合法/非合法が判定されること
TGT-04,"is_valid_move(board, x, y, me) -> bool",BV-04-02,boundary_value,high,L2,盤面の辺で正しく合法/非合法が判定されること
TGT-04,"is_valid_move(board, x, y, me) -> bool",BV-04-03,boundary_value,medium,L2,"x の範囲外直前直後（-1, 0, 7, 8）で判定が切り替わること"
TGT-04,"is_valid_move(board, x, y, me) -> bool",ER-04-01,error_path,high,L1,範囲外入力でクラッシュせず False を返すこと
TGT-04,"is_valid_move(board, x, y, me) -> bool",ER-04-02,error_path,medium,L2,空盤面で全マスが False を返すこと（置ける場所がない）
TGT-04,"is_valid_move(board, x, y, me) -> bool",ER-04-03,error_path,low,L1,満盤で全マスが False を返すこと（空マスがない）
TGT-04,"is_valid_move(board, x, y, me) -> bool",DP-04-01,dependency_path,medium,L1,is_on_board が False を返した時点で以降の呼び出しをスキップすること（短絡評価）
TGT-04,"is_valid_move(board, x, y, me) -> bool",DP-04-02,dependency_path,medium,L1,is_empty が False を返した時点で以降の呼び出しをスキップすること
TGT-04,"is_valid_move(board, x, y, me) -> bool",DP-04-03,dependency_path,medium,L2,count_flippable が 0 を返した方向は is_valid_move の判定に寄与しないこと
